Month,	Android,	iOS,	Microsoft Windows,	Linux,	macOS
2004-01,	0,	0,	100,	49,	23
2004-02,	0,	0,	98,	49,	20
2004-03,	0,	0,	93,	47,	20
2004-04,	0,	0,	91,	45,	19
2004-05,	0,	0,	97,	45,	19
2004-06,	0,	0,	91,	45,	19
2004-07,	0,	0,	89,	42,	20
2004-08,	0,	0,	92,	41,	19
2004-09,	0,	0,	94,	41,	19
2004-10,	0,	0,	90,	42,	20
2004-11,	0,	0,	85,	40,	20
2004-12,	0,	0,	83,	37,	20
2005-01,	0,	0,	85,	38,	21
2005-02,	0,	0,	81,	36,	21
2005-03,	0,	0,	78,	37,	19
2005-04,	0,	0,	73,	33,	19
2005-05,	0,	0,	70,	33,	21
2005-06,	0,	0,	70,	32,	20
2005-07,	0,	0,	73,	31,	19
2005-08,	0,	0,	77,	32,	22
2005-09,	0,	0,	71,	31,	20
2005-10,	0,	0,	69,	31,	19
2005-11,	0,	0,	66,	30,	19
2005-12,	0,	0,	68,	28,	20
2006-01,	0,	0,	69,	27,	21
2006-02,	0,	0,	66,	27,	19
2006-03,	0,	0,	63,	26,	18
2006-04,	0,	0,	58,	25,	18
2006-05,	0,	0,	59,	24,	17
2006-06,	0,	0,	61,	24,	18
2006-07,	0,	0,	61,	24,	18
2006-08,	0,	0,	63,	25,	20
2006-09,	0,	0,	61,	24,	20
2006-10,	0,	0,	61,	24,	20
2006-11,	0,	0,	61,	25,	20
2006-12,	0,	0,	63,	23,	20
2007-01,	0,	0,	65,	23,	21
2007-02,	0,	0,	71,	23,	21
2007-03,	0,	0,	61,	23,	20
2007-04,	0,	0,	58,	22,	19
2007-05,	0,	0,	54,	21,	18
2007-06,	0,	0,	55,	21,	18
2007-07,	0,	0,	55,	20,	19
2007-08,	0,	0,	55,	20,	19
2007-09,	0,	0,	54,	20,	20
2007-10,	0,	0,	53,	21,	21
2007-11,	1,	0,	54,	21,	22
2007-12,	0,	0,	54,	19,	22
2008-01,	0,	0,	53,	18,	22
2008-02,	0,	0,	52,	18,	21
2008-03,	0,	0,	53,	17,	20
2008-04,	0,	0,	50,	17,	19
2008-05,	0,	0,	50,	16,	19
2008-06,	0,	0,	48,	17,	19
2008-07,	0,	0,	50,	16,	19
2008-08,	0,	0,	51,	16,	19
2008-09,	1,	0,	49,	16,	20
2008-10,	1,	0,	51,	17,	20
2008-11,	1,	0,	49,	16,	20
2008-12,	1,	0,	53,	16,	22
2009-01,	1,	0,	61,	15,	22
2009-02,	1,	0,	54,	15,	20
2009-03,	1,	0,	53,	15,	20
2009-04,	1,	0,	52,	15,	20
2009-05,	2,	0,	56,	14,	19
2009-06,	2,	1,	51,	13,	19
2009-07,	2,	0,	54,	13,	20
2009-08,	2,	0,	58,	13,	21
2009-09,	3,	0,	58,	13,	23
2009-10,	4,	0,	76,	13,	22
2009-11,	5,	0,	78,	13,	21
2009-12,	5,	0,	72,	12,	23
2010-01,	5,	0,	73,	12,	22
2010-02,	5,	0,	73,	12,	21
2010-03,	6,	0,	70,	12,	20
2010-04,	7,	1,	66,	12,	20
2010-05,	9,	1,	61,	12,	20
2010-06,	11,	2,	61,	11,	21
2010-07,	13,	2,	58,	10,	19
2010-08,	17,	1,	62,	10,	20
2010-09,	16,	2,	63,	10,	20
2010-10,	16,	2,	61,	10,	21
2010-11,	18,	4,	61,	10,	21
2010-12,	22,	2,	60,	9,	21
2011-01,	22,	2,	58,	9,	22
2011-02,	21,	2,	58,	10,	21
2011-03,	22,	3,	57,	10,	21
2011-04,	23,	2,	54,	9,	20
2011-05,	24,	2,	54,	9,	20
2011-06,	27,	3,	55,	9,	20
2011-07,	29,	3,	55,	8,	24
2011-08,	29,	3,	57,	9,	23
2011-09,	30,	3,	57,	9,	21
2011-10,	33,	13,	55,	9,	23
2011-11,	34,	7,	54,	9,	22
2011-12,	41,	7,	54,	8,	22
2012-01,	39,	6,	54,	8,	22
2012-02,	37,	4,	51,	8,	20
2012-03,	39,	6,	53,	8,	19
2012-04,	40,	4,	50,	8,	20
2012-05,	37,	5,	47,	8,	18
2012-06,	39,	5,	50,	8,	19
2012-07,	41,	4,	51,	7,	20
2012-08,	41,	4,	51,	8,	21
2012-09,	43,	13,	51,	8,	21
2012-10,	42,	7,	54,	8,	19
2012-11,	42,	7,	61,	8,	18
2012-12,	48,	7,	57,	7,	19
2013-01,	48,	7,	58,	7,	19
2013-02,	45,	9,	55,	8,	18
2013-03,	43,	6,	54,	7,	18
2013-04,	41,	5,	53,	7,	17
2013-05,	44,	5,	49,	7,	15
2013-06,	44,	11,	51,	7,	15
2013-07,	46,	8,	51,	7,	15
2013-08,	48,	8,	51,	7,	16
2013-09,	49,	29,	51,	7,	16
2013-10,	50,	11,	58,	7,	18
2013-11,	49,	9,	55,	7,	17
2013-12,	53,	9,	55,	7,	17
2014-01,	50,	9,	56,	7,	17
2014-02,	46,	8,	53,	7,	16
2014-03,	46,	8,	52,	7,	16
2014-04,	44,	7,	53,	7,	16
2014-05,	44,	6,	51,	7,	14
2014-06,	44,	8,	49,	6,	14
2014-07,	45,	7,	48,	6,	14
2014-08,	46,	6,	51,	6,	15
2014-09,	44,	16,	49,	6,	16
2014-10,	46,	10,	50,	7,	17
2014-11,	48,	8,	48,	6,	16
2014-12,	48,	8,	48,	6,	16
2015-01,	47,	7,	49,	6,	15
2015-02,	46,	7,	48,	6,	15
2015-03,	44,	7,	47,	6,	14
2015-04,	43,	7,	45,	6,	14
2015-05,	42,	6,	43,	6,	13
2015-06,	41,	7,	49,	6,	13
2015-07,	42,	8,	56,	6,	13
2015-08,	42,	7,	68,	6,	14
2015-09,	40,	13,	53,	6,	14
2015-10,	40,	9,	51,	6,	15
2015-11,	39,	7,	48,	6,	13
2015-12,	40,	7,	49,	6,	13
2016-01,	38,	7,	42,	5,	13
2016-02,	37,	6,	41,	6,	12
2016-03,	35,	7,	40,	6,	12
2016-04,	33,	6,	37,	5,	12
2016-05,	33,	6,	37,	5,	12
2016-06,	33,	7,	38,	5,	11
2016-07,	41,	10,	39,	5,	10
2016-08,	36,	8,	36,	5,	11
2016-09,	34,	12,	36,	5,	13
2016-10,	32,	8,	35,	6,	13
2016-11,	31,	7,	34,	6,	12
2016-12,	33,	7,	36,	5,	12
2017-01,	33,	6,	34,	5,	12
2017-02,	32,	6,	34,	6,	12
2017-03,	30,	6,	33,	6,	11
2017-04,	30,	5,	32,	5,	11
2017-05,	28,	5,	30,	5,	10
2017-06,	28,	6,	28,	5,	10
2017-07,	29,	6,	29,	5,	9
2017-08,	28,	5,	29,	5,	10
2017-09,	27,	9,	29,	5,	11
2017-10,	27,	8,	31,	5,	10
2017-11,	26,	7,	31,	5,	11
2017-12,	27,	6,	30,	5,	10
2018-01,	27,	6,	31,	5,	11
2018-02,	25,	5,	29,	5,	10
2018-03,	25,	6,	28,	5,	10
2018-04,	24,	5,	26,	5,	9
2018-05,	24,	5,	27,	5,	9
2018-06,	25,	5,	26,	5,	9
2018-07,	25,	5,	25,	5,	8
2018-08,	25,	5,	24,	5,	9
2018-09,	25,	6,	25,	5,	10
2018-10,	25,	5,	26,	5,	10
2018-11,	24,	5,	25,	5,	10
2018-12,	24,	4,	23,	4,	9
2019-01,	23,	4,	25,	4,	9
2019-02,	21,	4,	23,	5,	9
2019-03,	21,	4,	22,	5,	8
2019-04,	21,	4,	22,	4,	8
2019-05,	22,	4,	22,	4,	8
2019-06,	22,	5,	21,	4,	8
2019-07,	22,	5,	22,	4,	7
2019-08,	22,	4,	23,	4,	8
2019-09,	21,	7,	23,	5,	9
2019-10,	21,	6,	24,	4,	9
2019-11,	20,	4,	22,	4,	8
2019-12,	21,	4,	22,	4,	8
2020-01,	21,	4,	25,	4,	8
2020-02,	20,	4,	23,	5,	8
2020-03,	20,	4,	27,	5,	10
2020-04,	23,	5,	29,	5,	11
2020-05,	22,	4,	26,	4,	10
2020-06,	20,	5,	25,	4,	9
2020-07,	20,	5,	25,	4,	9
2020-08,	19,	4,	23,	4,	9
2020-09,	19,	10,	24,	4,	9
2020-10,	18,	5,	22,	4,	7
2020-11,	17,	5,	21,	4,	8
2020-12,	18,	4,	20,	3,	7
2021-01,	18,	4,	22,	3,	7
2021-02,	17,	4,	22,	3,	7
2021-03,	18,	3,	21,	4,	7
2021-04,	17,	4,	20,	4,	6
2021-05,	17,	3,	18,	3,	6
2021-06,	16,	4,	19,	3,	6
2021-07,	17,	4,	18,	3,	6
2021-08,	17,	4,	17,	3,	6
2021-09,	16,	4,	19,	4,	7
2021-10,	15,	4,	19,	4,	7
2021-11,	15,	4,	19,	4,	7
2021-12,	16,	4,	18,	4,	7
2022-01,	16,	4,	18,	4,	7
2022-02,	15,	3,	18,	4,	7